Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
360/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02464008350770034
361/1000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.02439368267262334
362/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.02414974584589710
363/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02390824838743813
364/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02366916590356375
365/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02343247424452811
366/1000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.02319814950208283
367/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.022966168007062002
368/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.022736506326991382
369/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.022509141263721468
370/1000:None,1/2-1/2,31,Termination.FIVEFOLD_REPETITION,0.022284049851084252
371/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02206120935257341
372/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.021840597259047675
373/1000:None,1/2-1/2,33,Termination.FIVEFOLD_REPETITION,0.021622191286457197
374/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.021405969373592626
375/1000:None,1/2-1/2,36,Termination.FIVEFOLD_REPETITION,0.0211919096798567
376/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.020979990583058133
377/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.020770190677227553
378/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.020562488770455276
379/1000:None,1/2-1/2,31,Termination.FIVEFOLD_REPETITION,0.020356863882750723
380/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.020153295243923217
381/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.019951762291483984
382/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.019752244668569143
383/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.019554722221883453
384/1000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.01935917499966462
385/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.01916558324966797
386/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.018973927417171292
387/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.018784188142999578
388/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01859634626156958
389/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.018410382798953885
390/1000:None,1/2-1/2,60,Termination.FIVEFOLD_REPETITION,0.018226278970964346
391/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.018044016181254702
392/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.017863576019442155
393/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.017684940259247734
394/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.017508090856655258
395/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.017333009948088705
396/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.017159679848607817
397/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.016988083050121738
398/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.01681820221962052
399/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.016650020197424314
400/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01648351999545007
401/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.016318684795495572
402/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.016155497947540617
403/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.015993942968065212
404/1000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.01583400353838456
405/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.015675663503000713
406/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.015518906867970706
407/1000:None,1/2-1/2,34,Termination.FIVEFOLD_REPETITION,0.015363717799290999
408/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.015210080621298088
409/1000:None,1/2-1/2,26,Termination.FIVEFOLD_REPETITION,0.015057979815085108
410/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.014907400016934257
411/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.014758326016764915
412/1000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.014610742756597265
413/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.014464635329031292
414/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.014319988975740978
415/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.014176789085983568
416/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.014035021195123731
417/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.013894670983172494
418/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.013755724273340769
419/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01361816703060736
420/1000:None,1/2-1/2,41,Termination.FIVEFOLD_REPETITION,0.013481985360301287
421/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.013347165506698275
422/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.013213693851631292
423/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.013081556913114979
424/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01295074134398383
425/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01282123393054399
426/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01269302159123855
427/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.012566091375326164
428/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.012440430461572902
429/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.012316026156957174
430/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.012192865895387602
431/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.012070937236433725
432/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.011950227864069388
433/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.011830725585428694
434/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.011712418329574406
435/1000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.011595294146278662
436/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.011479341204815875
437/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.011364547792767715
438/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.011250902314840038
439/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.011138393291691638
440/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01102700935877472
441/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.010916739265186973
442/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.010807571872535103
443/1000:None,1/2-1/2,31,Termination.FIVEFOLD_REPETITION,0.010699496153809752
